club,source_league,played,goals_for,goals_against,points,source
FC Bayern München,Bundesliga,34,122,36,89,https://www.bundesliga.com/en/bundesliga/table?view=full
Borussia Dortmund,Bundesliga,34,70,34,73,https://www.bundesliga.com/en/bundesliga/table?view=full
RB Leipzig,Bundesliga,34,66,47,65,https://www.bundesliga.com/en/bundesliga/table?view=full
VfB Stuttgart,Bundesliga,34,71,49,62,https://www.bundesliga.com/en/bundesliga/table?view=full
TSG Hoffenheim,Bundesliga,34,65,52,61,https://www.bundesliga.com/en/bundesliga/table?view=full
Bayer 04 Leverkusen,Bundesliga,34,68,47,59,https://www.bundesliga.com/en/bundesliga/table?view=full
SC Freiburg,Bundesliga,34,51,57,47,https://www.bundesliga.com/en/bundesliga/table?view=full
Eintracht Frankfurt,Bundesliga,34,61,65,44,https://www.bundesliga.com/en/bundesliga/table?view=full
FC Augsburg,Bundesliga,34,45,61,43,https://www.bundesliga.com/en/bundesliga/table?view=full
1. FSV Mainz 05,Bundesliga,34,44,53,40,https://www.bundesliga.com/en/bundesliga/table?view=full
1. FC Union Berlin,Bundesliga,34,44,58,39,https://www.bundesliga.com/en/bundesliga/table?view=full
Borussia Mönchengladbach,Bundesliga,34,42,53,38,https://www.bundesliga.com/en/bundesliga/table?view=full
Hamburger SV,Bundesliga,34,40,54,38,https://www.bundesliga.com/en/bundesliga/table?view=full
1. FC Köln,Bundesliga,34,49,63,32,https://www.bundesliga.com/en/bundesliga/table?view=full
SV Werder Bremen,Bundesliga,34,37,60,32,https://www.bundesliga.com/en/bundesliga/table?view=full
FC Schalke 04,2. Bundesliga,34,50,31,70,https://www.bundesliga.com/de/2bundesliga/spieltag/2025-2026/31/sc-paderborn-07-vs-fc-schalke-04/table
SV Elversberg,2. Bundesliga,34,64,39,62,https://www.bundesliga.com/de/2bundesliga/spieltag/2025-2026/31/sc-paderborn-07-vs-fc-schalke-04/table
SC Paderborn 07,2. Bundesliga,34,59,45,62,https://www.bundesliga.com/de/2bundesliga/spieltag/2025-2026/31/sc-paderborn-07-vs-fc-schalke-04/table
