outgoing,outgoing_slot,position,outgoing_md1_points,outgoing_md2_price_m,cash_before_m,max_replacement_price_m,candidate,candidate_md1_points,candidate_md1_price_m,candidate_md2_price_m,candidate_movement_m,candidate_points_per_md2_m,cash_after_m,points_gain_vs_outgoing
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Lukas Petkov,316,6.27,7.01,+0.74,45.08,3.29,218
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Bambasé Conté,230,5.50,5.95,+0.45,38.66,4.35,132
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Jobe Bellingham,194,7.47,7.60,+0.13,25.53,2.70,96
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Ísak Jóhannesson,171,4.52,4.65,+0.13,36.77,5.65,73
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Tim Skarke,169,3.51,3.60,+0.09,46.94,6.70,71
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Dariusz Stalmach,166,2.67,2.88,+0.21,57.64,7.42,68
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Nicolas Capaldo,156,9.01,9.08,+0.07,17.18,1.22,58
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Raphael Obermair,136,5.59,5.74,+0.15,23.69,4.56,38
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Hugo Bolin,134,7.16,7.26,+0.10,18.46,3.04,36
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Nicolas Seiwald,134,10.20,10.22,+0.02,13.11,0.08,36
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Ezequiel Fernández,116,9.55,9.55,+0.00,12.15,0.75,18
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Yannick Engelhardt,106,9.97,9.95,-0.02,10.65,0.35,8
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Woo-yeong Jeong,103,5.32,5.33,+0.01,19.32,4.97,5
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Ludovit Reis,102,8.10,8.10,+0.00,12.59,2.20,4
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Wael Mohya,96,7.68,7.67,-0.01,12.52,2.63,-2
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Jae-sung Lee,96,9.50,9.48,-0.02,10.13,0.82,-2
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Laurin Ulrich,95,3.88,3.95,+0.07,24.05,6.35,-3
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Łukasz Poręba,92,2.71,2.81,+0.10,32.74,7.49,-6
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Mattes Hansen,92,2.78,2.87,+0.09,32.06,7.43,-6
Adil Aouchiche,starter,MID,98,6.48,3.82,10.30,Linton Maina,91,5.72,5.72,+0.00,15.91,4.58,-7
